code,port_of_entry,city,state_or_country
SSM,"Sault Ste. Marie, Mi ",Sault Ste. Marie, Mi 
SCL,"St Clair, Mi ",St Clair, Mi 
YIP,"Willow Run - Ypsilanti, Mi",Willow Run - Ypsilanti, Mi
BAU,"Baudette, Mn ",Baudette, Mn 
CAR,"Caribou Municipal Airport, Mn",Caribou Municipal Airport, Mn
GTF,"Collapsed Into Int, Mn",Collapsed Into Int, Mn
INL,"Collapsed Into Int, Mn",Collapsed Into Int, Mn
CRA,"Crane Lake, Mn ",Crane Lake, Mn 
MIC,"Crystal Municipal Airport, Mn",Crystal Municipal Airport, Mn
DUL,"Duluth, Mn ",Duluth, Mn 
ELY,"Ely, Mn ",Ely, Mn 
GPM,"Grand Portage, Mn ",Grand Portage, Mn 
SVC,"Grant County - Silver City, Mn",Grant County - Silver City, Mn
INT,"Int''L Falls, Mn ",Int''L Falls, Mn 
LAN,"Lancaster, Mn ",Lancaster, Mn 
MSP,"Minn./St Paul, Mn ",Minn./St Paul, Mn 
LIN,"Northern Svc Center, Mn ",Northern Svc Center, Mn 
NOY,"Noyes, Mn ",Noyes, Mn 
PIN,"Pine Creek, Mn ",Pine Creek, Mn 
48Y,"Pinecreek Border Arpt, Mn",Pinecreek Border Arpt, Mn
RAN,"Rainer, Mn ",Rainer, Mn 
RST,"Rochester, Mn",Rochester, Mn
ROS,"Roseau, Mn ",Roseau, Mn 
SPM,"St Paul, Mn ",St Paul, Mn 
WSB,"Warroad Intl, Spb, Mn","Warroad Intl, Spb", Mn
WAR,"Warroad, Mn ",Warroad, Mn 
KAN,"Kansas City, Mo ",Kansas City, Mo 
SGF,"Springfield-Branson, Mo",Springfield-Branson, Mo
STL,"St Louis, Mo ",St Louis, Mo 
WHI,"Whitetail, Mt ",Whitetail, Mt 
WHM,"Wild Horse, Mt ",Wild Horse, Mt 
GPT,"Biloxi Regional, Ms",Biloxi Regional, Ms
GTR,"Golden Triangle Lowndes Cnty, Ms",Golden Triangle Lowndes Cnty, Ms
GUL,"Gulfport, Ms ",Gulfport, Ms 
PAS,"Pascagoula, Ms ",Pascagoula, Ms 
JAN,"Thompson Field - Jackson, Ms",Thompson Field - Jackson, Ms
BIL,"Billings, Mt ",Billings, Mt 
BTM,"Butte, Mt ",Butte, Mt 
CHF,"Chief Mt, Mt ",Chief Mt, Mt 
CTB,"Cut Bank Municipal, Mt",Cut Bank Municipal, Mt
CUT,"Cut Bank, Mt ",Cut Bank, Mt 
DLB,"Del Bonita, Mt ",Del Bonita, Mt 
EUR,"Eureka, Mt (Bps)",Eureka, Mt (Bps)
BZN,"Gallatin Field - Bozeman, Mt",Gallatin Field - Bozeman, Mt
FCA,"Glacier National Park, Mt",Glacier National Park, Mt
GGW,"Glasgow, Mt ",Glasgow, Mt 
GRE,"Great Falls, Mt ",Great Falls, Mt 
HVR,"Havre, Mt ",Havre, Mt 
HEL,"Helena, Mt ",Helena, Mt 
LWT,"Lewiston, Mt ",Lewiston, Mt 
MGM,"Morgan, Mt ",Morgan, Mt 
OPH,"Opheim, Mt ",Opheim, Mt 
PIE,"Piegan, Mt ",Piegan, Mt 
RAY,"Raymond, Mt ",Raymond, Mt 
ROO,"Roosville, Mt ",Roosville, Mt 
SCO,"Scobey, Mt ",Scobey, Mt 
SWE,"Sweetgtass, Mt ",Sweetgtass, Mt 
TRL,"Trial Creek, Mt ",Trial Creek, Mt 
TUR,"Turner, Mt ",Turner, Mt 
WCM,"Willow Creek, Mt ",Willow Creek, Mt 
CLT,"Charlotte, Nc ",Charlotte, Nc 
FAY,"Fayetteville, Nc",Fayetteville, Nc
MRH,"Morehead City, Nc ",Morehead City, Nc 
FOP,"Morris Fields Aaf, Nc",Morris Fields Aaf, Nc
GSO,"Piedmont Triad Intl Airport, Nc",Piedmont Triad Intl Airport, Nc
RDU,"Raleigh/Durham, Nc ",Raleigh/Durham, Nc 
SSC,"Shaw Afb - Sumter, Nc",Shaw Afb - Sumter, Nc
WIL,"Wilmington, Nc ",Wilmington, Nc 
AMB,"Ambrose, Nd ",Ambrose, Nd 
ANT,"Antler, Nd ",Antler, Nd 
CRY,"Carbury, Nd ",Carbury, Nd 
DNS,"Dunseith, Nd ",Dunseith, Nd 
FAR,"Fargo, Nd ",Fargo, Nd 
FRT,"Fortuna, Nd ",Fortuna, Nd 
GRF,"Grand Forks, Nd ",Grand Forks, Nd 
HNN,"Hannah, Nd ",Hannah, Nd 
HNS,"Hansboro, Nd ",Hansboro, Nd 
MAI,"Maida, Nd ",Maida, Nd 
MND,"Minot, Nd ",Minot, Nd 
NEC,"Neche, Nd ",Neche, Nd 
NOO,"Noonan, Nd ",Noonan, Nd 
NRG,"Northgate, Nd ",Northgate, Nd 
PEM,"Pembina, Nd ",Pembina, Nd 
SAR,"Sarles, Nd ",Sarles, Nd 
SHR,"Sherwood, Nd ",Sherwood, Nd 
SJO,"St John, Nd ",St John, Nd 
WAL,"Walhalla, Nd ",Walhalla, Nd 
WHO,"Westhope, Nd ",Westhope, Nd 
WND,"Williston, Nd ",Williston, Nd 
OMA,"Omaha, Ne ",Omaha, Ne 
LEB,"Lebanon, Nh ",Lebanon, Nh 
MHT,"Manchester, Nh",Manchester, Nh
PNH,"Pittsburg, Nh ",Pittsburg, Nh 
PSM,"Portsmouth, Nh ",Portsmouth, Nh 
BYO,"Bayonne, Nj ",Bayonne, Nj 
CNJ,"Camden, Nj ",Camden, Nj 
HOB,"Hoboken, Nj ",Hoboken, Nj 
JER,"Jersey City, Nj ",Jersey City, Nj 
WRI,"Mc Guire Afb - Wrightsown, Nj",Mc Guire Afb - Wrightsown, Nj
MMU,"Morristown, Nj",Morristown, Nj
NEW,"Newark/Teterboro, Nj ",Newark/Teterboro, Nj 
PER,"Perth Amboy, Nj ",Perth Amboy, Nj 
ACY,"Pomona Field - Atlantic City, Nj",Pomona Field - Atlantic City, Nj
ALA,"Alamagordo, Nm (Bps)",Alamagordo, Nm (Bps)
ABQ,"Albuquerque, Nm ",Albuquerque, Nm 
ANP,"Antelope Wells, Nm ",Antelope Wells, Nm 
CRL,"Carlsbad, Nm ",Carlsbad, Nm 
COL,"Columbus, Nm ",Columbus, Nm 
CDD,"Crane Lake - St. Louis Cnty, Nm",Crane Lake - St. Louis Cnty, Nm
DNM,"Deming, Nm (Bps)",Deming, Nm (Bps)
LAS,"Las Cruces, Nm ",Las Cruces, Nm 
LOB,"Lordsburg, Nm (Bps)",Lordsburg, Nm (Bps)
RUI,"Ruidoso, Nm",Ruidoso, Nm
STR,"Santa Teresa, Nm ",Santa Teresa, Nm 
RNO,"Cannon Intl - Reno/Tahoe, Nv",Cannon Intl - Reno/Tahoe, Nv
FLX,"Fallon Municipal Airport, Nv",Fallon Municipal Airport, Nv
LVG,"Las Vegas, Nv ",Las Vegas, Nv 
REN,"Reno, Nv ",Reno, Nv 
ALB,"Albany, Ny ",Albany, Ny 
AXB,"Alexandria Bay, Ny ",Alexandria Bay, Ny 
BUF,"Buffalo, Ny ",Buffalo, Ny 
CNH,"Cannon Corners, Ny",Cannon Corners, Ny
CAP,"Cape Vincent, Ny ",Cape Vincent, Ny 
CHM,"Champlain, Ny ",Champlain, Ny 
CHT,"Chateaugay, Ny ",Chateaugay, Ny 
CLA,"Clayton, Ny ",Clayton, Ny 
FTC,"Fort Covington, Ny ",Fort Covington, Ny 
LAG,"La Guardia, Ny ",La Guardia, Ny 
LEW,"Lewiston, Ny ",Lewiston, Ny 
MAS,"Massena, Ny ",Massena, Ny 
MAG,"Mcguire Afb, Ny ",Mcguire Afb, Ny 
MOO,"Moores, Ny ",Moores, Ny 
MRR,"Morristown, Ny ",Morristown, Ny 
NYC,"New York, Ny ",New York, Ny 
NIA,"Niagara Falls, Ny ",Niagara Falls, Ny 
OGD,"Ogdensburg, Ny ",Ogdensburg, Ny 
OSW,"Oswego, Ny ",Oswego, Ny 
ELM,"Regional Arpt - Horsehead, Ny",Regional Arpt - Horsehead, Ny
ROC,"Rochester, Ny ",Rochester, Ny 
ROU,"Rouses Point, Ny ",Rouses Point, Ny 
SWF,"Stewart - Orange Cnty, Ny",Stewart - Orange Cnty, Ny
SYR,"Syracuse, Ny ",Syracuse, Ny 
THO,"Thousand Island Bridge, Ny",Thousand Island Bridge, Ny
TRO,"Trout River, Ny ",Trout River, Ny 
WAT,"Watertown, Ny ",Watertown, Ny 
HPN,"Westchester - White Plains, Ny",Westchester - White Plains, Ny
WRB,"Whirlpool Bridge, Ny",Whirlpool Bridge, Ny
YOU,"Youngstown, Ny ",Youngstown, Ny 
AKR,"Akron, Oh ",Akron, Oh 
ATB,"Ashtabula, Oh ",Ashtabula, Oh 
CIN,"Cincinnati, Oh ",Cincinnati, Oh 
CLE,"Cleveland, Oh ",Cleveland, Oh 
CLM,"Columbus, Oh ",Columbus, Oh 
LOR,"Lorain, Oh ",Lorain, Oh 
MBO,"Marble Heads, Oh ",Marble Heads, Oh 
SDY,"Sandusky, Oh ",Sandusky, Oh 
TOL,"Toledo, Oh ",Toledo, Oh 
OKC,"Oklahoma City, Ok ",Oklahoma City, Ok 
TUL,"Tulsa, Ok",Tulsa, Ok
AST,"Astoria, Or ",Astoria, Or 
COO,"Coos Bay, Or ",Coos Bay, Or 
HIO,"Hillsboro, Or",Hillsboro, Or
MED,"Medford, Or ",Medford, Or 
NPT,"Newport, Or ",Newport, Or 
POO,"Portland, Or ",Portland, Or 
PUT,"Put-In-Bay, Oh ",Put-In-Bay, Oh 
RDM,"Roberts Fields - Redmond, Or",Roberts Fields - Redmond, Or
ERI,"Erie, Pa ",Erie, Pa 
MDT,"Harrisburg, Pa",Harrisburg, Pa
HSB,"Harrisonburg, Pa ",Harrisonburg, Pa 
PHI,"Philadelphia, Pa ",Philadelphia, Pa 
PIT,"Pittsburg, Pa ",Pittsburg, Pa 
AGU,"Aguadilla, Pr ",Aguadilla, Pr 
BQN,"Borinquen - Aguadillo, Pr",Borinquen - Aguadillo, Pr
JCP,"Culebra - Benjamin Rivera, Pr",Culebra - Benjamin Rivera, Pr
ENS,"Ensenada, Pr ",Ensenada, Pr 
FAJ,"Fajardo, Pr ",Fajardo, Pr 
HUM,"Humacao, Pr ",Humacao, Pr 
JOB,"Jobos, Pr ",Jobos, Pr 
MAY,"Mayaguez, Pr ",Mayaguez, Pr 
PON,"Ponce, Pr ",Ponce, Pr 
PSE,"Ponce-Mercedita, Pr",Ponce-Mercedita, Pr
SAJ,"San Juan, Pr ",San Juan, Pr 
VQS,"Vieques-Arpt, Pr",Vieques-Arpt, Pr
PRO,"Providence, Ri ",Providence, Ri 
PVD,"Theodore Francis - Warwick, Ri",Theodore Francis - Warwick, Ri
CHL,"Charleston, Sc ",Charleston, Sc 
CAE,"Columbia, Sc #Arpt",Columbia, Sc #Arpt
GEO,"Georgetown, Sc ",Georgetown, Sc 
GSP,"Greenville, Sc",Greenville, Sc
GRR,"Greer, Sc",Greer, Sc
MYR,"Myrtle Beach, Sc",Myrtle Beach, Sc
SPF,"Black Hills, Spearfish, Sd","Black Hills, Spearfish", Sd
HON,"Howes Regional Arpt - Huron, Sd",Howes Regional Arpt - Huron, Sd
SAI,"Saipan, Spn ",Saipan, Spn 
TYS,"Mc Ghee Tyson - Alcoa, Tn",Mc Ghee Tyson - Alcoa, Tn
MEM,"Memphis, Tn ",Memphis, Tn 
NSV,"Nashville, Tn ",Nashville, Tn 
TRI,"Tri City Arpt, Tn",Tri City Arpt, Tn
ADS,"Addison Airport- Addison, Tx",Addison Airport- Addison, Tx
ADT,"Amistad Dam, Tx ",Amistad Dam, Tx 
ANZ,"Anzalduas, Tx",Anzalduas, Tx
AUS,"Austin, Tx ",Austin, Tx 
BEA,"Beaumont, Tx ",Beaumont, Tx 
BBP,"Big Bend Park, Tx (Bps)",Big Bend Park, Tx (Bps)
SCC,"Bp Spec Coord. Ctr, Tx",Bp Spec Coord. Ctr, Tx
BTC,"Bp Tactical Unit, Tx ",Bp Tactical Unit, Tx 
BOA,"Bridge Of Americas, Tx",Bridge Of Americas, Tx
BRO,"Brownsville, Tx ",Brownsville, Tx 
CRP,"Corpus Christi, Tx ",Corpus Christi, Tx 
DAL,"Dallas, Tx ",Dallas, Tx 
DLR,"Del Rio, Tx ",Del Rio, Tx 
DNA,"Donna, Tx",Donna, Tx
EGP,"Eagle Pass, Tx ",Eagle Pass, Tx 
ELP,"El Paso, Tx ",El Paso, Tx 
FAB,"Fabens, Tx ",Fabens, Tx 
FAL,"Falcon Heights, Tx ",Falcon Heights, Tx 
FTH,"Fort Hancock, Tx ",Fort Hancock, Tx 
AFW,"Fort Worth Alliance, Tx",Fort Worth Alliance, Tx
FPT,"Freeport, Tx ",Freeport, Tx 
GAL,"Galveston, Tx ",Galveston, Tx 
HLG,"Harlingen, Tx ",Harlingen, Tx 
HID,"Hidalgo, Tx ",Hidalgo, Tx 
HOU,"Houston, Tx ",Houston, Tx 
SGR,"Hull Field, Sugar Land Arpt, Tx","Hull Field, Sugar Land Arpt", Tx
LLB,"Juarez-Lincoln Bridge, Tx",Juarez-Lincoln Bridge, Tx
LCB,"Laredo Columbia Bridge, Tx",Laredo Columbia Bridge, Tx
LRN,"Laredo North, Tx ",Laredo North, Tx 
LAR,"Laredo, Tx ",Laredo, Tx 
LSE,"Los Ebanos, Tx ",Los Ebanos, Tx 
IND,"Los Indios, Tx",Los Indios, Tx
LOI,"Los Indios, Tx ",Los Indios, Tx 
MRS,"Marfa, Tx (Bps)",Marfa, Tx (Bps)
MCA,"Mcallen, Tx ",Mcallen, Tx 
MAF,"Odessa Regional, Tx",Odessa Regional, Tx
PDN,"Paso Del Norte,Tx ",Paso Del Norte,Tx 
PBB,"Peace Bridge, Ny ",Peace Bridge, Ny 
PHR,"Pharr, Tx ",Pharr, Tx 
PAR,"Port Arthur, Tx ",Port Arthur, Tx 
ISB,"Port Isabel, Tx ",Port Isabel, Tx 
POE,"Port Of El Paso, Tx ",Port Of El Paso, Tx 
PRE,"Presidio, Tx ",Presidio, Tx 
PGR,"Progreso, Tx ",Progreso, Tx 
RIO,"Rio Grande City, Tx ",Rio Grande City, Tx 
ROM,"Roma, Tx ",Roma, Tx 
SNA,"San Antonio, Tx ",San Antonio, Tx 
SNN,"Sanderson, Tx ",Sanderson, Tx 
VIB,"Veteran Intl Bridge, Tx",Veteran Intl Bridge, Tx
YSL,"Ysleta, Tx ",Ysleta, Tx 
CHA,"Charlotte Amalie, Vi ",Charlotte Amalie, Vi 
CHR,"Christiansted, Vi ",Christiansted, Vi 
CRU,"Cruz Bay, St John, Vi ","Cruz Bay, St John", Vi 
FRK,"Frederiksted, Vi ",Frederiksted, Vi 
STT,"St Thomas, Vi ",St Thomas, Vi 
LGU,"Cache Airport - Logan, Ut",Cache Airport - Logan, Ut
SLC,"Salt Lake City, Ut ",Salt Lake City, Ut 
CHO,"Albemarle Charlottesville, Va",Albemarle Charlottesville, Va
DAA,"Davison Aaf - Fairfax Cnty, Va",Davison Aaf - Fairfax Cnty, Va
HOP,"Hopewell, Va ",Hopewell, Va 
HEF,"Manassas, Va #Arpt",Manassas, Va #Arpt
NWN,"Newport, Va ",Newport, Va 
NOR,"Norfolk, Va ",Norfolk, Va 
RCM,"Richmond, Va ",Richmond, Va 
ABS,"Alburg Springs, Vt ",Alburg Springs, Vt 
ABG,"Alburg, Vt ",Alburg, Vt 
BEB,"Beebe Plain, Vt ",Beebe Plain, Vt 
BEE,"Beecher Falls, Vt ",Beecher Falls, Vt 
BRG,"Burlington, Vt ",Burlington, Vt 
CNA,"Canaan, Vt ",Canaan, Vt 
DER,"Derby Line, Vt (I-91) ",Derby Line, Vt (I-91) 
DLV,"Derby Line, Vt (Rt. 5)",Derby Line, Vt (Rt. 5)
ERC,"East Richford, Vt ",East Richford, Vt 
HIG,"Highgate Springs, Vt ",Highgate Springs, Vt 
MOR,"Morses Line, Vt ",Morses Line, Vt 
NPV,"Newport, Vt ",Newport, Vt 
NRT,"North Troy, Vt ",North Troy, Vt 
NRN,"Norton, Vt ",Norton, Vt 
PIV,"Pinnacle Road, Vt ",Pinnacle Road, Vt 
RIF,"Richfort, Vt ",Richfort, Vt 
STA,"St Albans, Vt ",St Albans, Vt 
SWB,"Swanton, Vt (Bp - Sector Hq)",Swanton, Vt (Bp - Sector Hq)
WBE,"West Berkshire, Vt ",West Berkshire, Vt 
ABE,"Aberdeen, Wa ",Aberdeen, Wa 
ANA,"Anacortes, Wa ",Anacortes, Wa 
BEL,"Bellingham, Wa ",Bellingham, Wa 
BLI,"Bellingham, Washington #Intl",Bellingham, Washington #Intl
BLA,"Blaine, Wa ",Blaine, Wa 
BWA,"Boundary, Wa ",Boundary, Wa 
CUR,"Curlew, Wa (Bps)",Curlew, Wa (Bps)
DVL,"Danville, Wa ",Danville, Wa 
EVE,"Everett, Wa ",Everett, Wa 
FER,"Ferry, Wa ",Ferry, Wa 
FRI,"Friday Harbor, Wa ",Friday Harbor, Wa 
FWA,"Frontier, Wa ",Frontier, Wa 
KLM,"Kalama, Wa ",Kalama, Wa 
LAU,"Laurier, Wa ",Laurier, Wa 
LON,"Longview, Wa ",Longview, Wa 
MET,"Metaline Falls, Wa ",Metaline Falls, Wa 
MWH,"Moses Lake Grant County Arpt, Wa",Moses Lake Grant County Arpt, Wa
NEA,"Neah Bay, Wa ",Neah Bay, Wa 
NIG,"Nighthawk, Wa ",Nighthawk, Wa 
OLY,"Olympia, Wa ",Olympia, Wa 
ORO,"Oroville, Wa ",Oroville, Wa 
PWB,"Pasco, Wa ",Pasco, Wa 
PIR,"Point Roberts, Wa ",Point Roberts, Wa 
PNG,"Port Angeles, Wa ",Port Angeles, Wa 
PTO,"Port Townsend, Wa ",Port Townsend, Wa 
SEA,"Seattle, Wa ",Seattle, Wa 
SPO,"Spokane, Wa ",Spokane, Wa 
SUM,"Sumas, Wa ",Sumas, Wa 
TAC,"Tacoma, Wa ",Tacoma, Wa 
PSC,"Tri-Cities - Pasco, Wa",Tri-Cities - Pasco, Wa
VAN,"Vancouver, Wa ",Vancouver, Wa 
AGM,"Algoma, Wi ",Algoma, Wi 
BAY,"Bayfield, Wi ",Bayfield, Wi 
GRB,"Green Bay, Wi ",Green Bay, Wi 
MNW,"Manitowoc, Wi ",Manitowoc, Wi 
MIL,"Milwaukee, Wi ",Milwaukee, Wi 
MSN,"Truax Field - Dane County, Wi",Truax Field - Dane County, Wi
CHS,"Charleston, Wv ",Charleston, Wv 
CLK,"Clarksburg, Wv ",Clarksburg, Wv 
BLF,"Mercer County, Wv",Mercer County, Wv
CSP,"Casper, Wy ",Casper, Wy 
XXX,Not Reported/Unknown ,Not Reported/Unknown ,
888,Unidentifed Air / Seaport,Unidentifed Air / Seaport,
UNK,Unknown Poe ,Unknown Poe ,
CLG,"Calgary, Canada ",Calgary, Canada 
EDA,"Edmonton, Canada ",Edmonton, Canada 
YHC,"Hakai Pass, Canada",Hakai Pass, Canada
HAL,"Halifax, Ns, Canada ","Halifax, Ns", Canada 
MON,"Montreal, Canada ",Montreal, Canada 
OTT,"Ottawa, Canada ",Ottawa, Canada 
YXE,"Saskatoon, Canada",Saskatoon, Canada
TOR,"Toronto, Canada ",Toronto, Canada 
VCV,"Vancouver, Canada ",Vancouver, Canada 
VIC,"Victoria, Canada ",Victoria, Canada 
WIN,"Winnipeg, Canada ",Winnipeg, Canada 
AMS,"Amsterdam-Schiphol, Netherlands",Amsterdam-Schiphol, Netherlands
ARB,"Aruba, Neth Antilles ",Aruba, Neth Antilles 
BAN,"Bankok, Thailand ",Bankok, Thailand 
BEI,"Beica #Arpt, Ethiopia",Beica #Arpt, Ethiopia
PEK,"Beijing Capital Intl, Prc",Beijing Capital Intl, Prc
BDA,"Kindley Field, Bermuda",Kindley Field, Bermuda
BOG,"Bogota, El Dorado #Arpt, Colombia","Bogota, El Dorado #Arpt", Colombia
EZE,"Buenos Aires, Ministro Pist, Argentina","Buenos Aires, Ministro Pist", Argentina
CUN,"Cancun, Mexico",Cancun, Mexico
CRQ,"Caravelas, Ba #Arpt, Brazil","Caravelas, Ba #Arpt", Brazil
MVD,"Carrasco, Uruguay",Carrasco, Uruguay
DUB,"Dublin, Ireland ",Dublin, Ireland 
FOU,"Fougamou #Arpt, Gabon",Fougamou #Arpt, Gabon
FBA,"Freeport, Bahamas ",Freeport, Bahamas 
MTY,"Gen M. Escobedo, Monterrey, Mx","Gen M. Escobedo, Monterrey", Mx
